"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
6972a655040dc79e7d95ed4442903db8;2016;1;MESTRADO;315745;MESTRADO EM EDUCAÇÃO;DEFENDIDO;2020/12/19 00:16:07.433000000;2020;2
076c4cc3da342dcdec5b419b34b9d68d;2016;1;MESTRADO;106146377;MESTRADO PROFISSIONAL EM ARTES - PROFARTES;DEFENDIDO;2020/07/02 21:21:20.526000000;2020;2
076c4cc3da342dcdec5b419b34b9d68d;2016;1;MESTRADO;106146377;MESTRADO PROFISSIONAL EM ARTES - PROFARTES;EM HOMOLOGAÇÃO;2020/07/04 21:52:56.433000000;2020;2
3376d7fa7030400b707a22108b3b0591;2015;1;DOUTORADO;95726200;DOUTORADO EM FISIOTERAPIA;DEFENDIDO;2020/08/06 11:29:32.106000000;2020;2
589d3a875967bec7ff9df18045c1bc62;2015;1;DOUTORADO;315758;DOUTORADO EM ESTUDOS DA LINGUAGEM;DEFENDIDO;2020/08/06 11:34:47.954000000;2020;2
9ce9e19c080fdaa3ad0da8c084e6252c;2018;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;DEFENDIDO;2020/08/06 11:54:58.634000000;2020;2
589d3a875967bec7ff9df18045c1bc62;2015;1;DOUTORADO;315758;DOUTORADO EM ESTUDOS DA LINGUAGEM;EM HOMOLOGAÇÃO;2020/08/10 15:54:00.986000000;2020;2
9ce9e19c080fdaa3ad0da8c084e6252c;2018;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;EM HOMOLOGAÇÃO;2020/08/10 15:59:47.342000000;2020;2
3376d7fa7030400b707a22108b3b0591;2015;1;DOUTORADO;95726200;DOUTORADO EM FISIOTERAPIA;EM HOMOLOGAÇÃO;2020/08/10 16:00:44.370000000;2020;2
7d57b69b210b29beb97e4c8c117e5ced;2018;1;MESTRADO;315735;MESTRADO EM PSICOBIOLOGIA;EM HOMOLOGAÇÃO;2020/08/13 18:36:50.786000000;2020;2
abbf3de7e2416ffb1bd82be2b1fda693;2017;1;MESTRADO;315757;MESTRADO EM ESTUDOS DA LINGUAGEM;DEFENDIDO;2020/08/14 09:27:06.169000000;2020;2
