"id_discente";"ano_ingresso";"periodo_ingresso";"nivel_ensino";"id_curso";"curso";"situacao";"data_alteracao_situacao";"ano_alteracao_situacao";"periodo_alteracao_situacao"
cedab8544a6a45d70df9521f8b6a2767;2009;2;MESTRADO;315739;MESTRADO EM QUÍMICA;DEFENDIDO;2012/01/04 10:57:11.689000000;2012;1
5d47c0670813dee17e4d0f045bf8f111;2006;1;DOUTORADO;315746;DOUTORADO EM EDUCAÇÃO;ATIVO;2012/02/07 11:27:56.444000000;2012;1
f787a14047df672d59c9881faf58f07d;2010;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;CONCLUÍDO;2012/02/17 11:15:15.357000000;2012;1
4347cfd179833952b2adc6b494345dc2;2010;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;CONCLUÍDO;2012/02/17 11:15:59.442000000;2012;1
4347cfd179833952b2adc6b494345dc2;2010;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;ATIVO;2012/02/17 11:18:12.856000000;2012;1
f787a14047df672d59c9881faf58f07d;2010;1;MESTRADO;315789;MESTRADO EM FISIOTERAPIA;ATIVO;2012/02/17 11:18:57.392000000;2012;1
77550e77dda5c64045df0ab87b52017c;2009;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;EM HOMOLOGAÇÃO;2012/02/27 11:12:42.805000000;2012;1
ca966835b585e433263f1eaad42f829e;2009;1;MESTRADO;315748;MESTRADO EM ENGENHARIA DE PRODUÇÃO;ATIVO;2012/03/22 15:46:33.058000000;2012;1
8a8b9f9cdba2af42d5f1a3c797f931c6;1997;1;MESTRADO;315776;MESTRADO EM CIÊNCIAS SOCIAIS;ATIVO;2012/04/09 10:04:48.352000000;2012;1
4215347b75116ebb4d411bbb1d7d409c;2001;1;MESTRADO;315741;MESTRADO EM SERVIÇO SOCIAL;DEFENDIDO;2012/05/14 11:11:54.407000000;2012;1
4215347b75116ebb4d411bbb1d7d409c;2001;1;MESTRADO;315741;MESTRADO EM SERVIÇO SOCIAL;CONCLUÍDO;2012/05/14 11:15:59.951000000;2012;1
4215347b75116ebb4d411bbb1d7d409c;2001;1;MESTRADO;315741;MESTRADO EM SERVIÇO SOCIAL;DEFENDIDO;2012/05/14 11:20:27.867000000;2012;1
c86ec7e69ad889085e33ffb83818196d;2010;2;MESTRADO;315769;MESTRADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;CONCLUÍDO;2012/05/29 15:08:34.643000000;2012;1
bc634d56b79a2a7f30d2fc19ea5ce817;2012;1;TÉCNICO;5402;TÉCNICO DE MÚSICA (PROCESSOS FONOGRÁFICOS);ATIVO;2011/11/07 18:50:08.833000000;2012;1
465c4e03b990f742833a88400a499d0b;2008;1;TÉCNICO;4970;TÉCNICO DE MÚSICA (INSTRUMENTO);ATIVO;2011/11/07 17:11:55.679000000;2012;1
a50e3ca6695639d4e42ba69d1f995f16;2009;2;MESTRADO;315739;MESTRADO EM QUÍMICA;EM HOMOLOGAÇÃO;2012/01/02 08:29:50.315000000;2012;1
e9b063be77cd98650ccf1ac4e8dda7bd;2009;2;MESTRADO;315739;MESTRADO EM QUÍMICA;EM HOMOLOGAÇÃO;2012/01/02 08:30:20.699000000;2012;1
0d145f261855751ff8767fe377898b7c;2010;2;MESTRADO;315748;MESTRADO EM ENGENHARIA DE PRODUÇÃO;DEFENDIDO;2012/01/04 10:05:39.284000000;2012;1
cedab8544a6a45d70df9521f8b6a2767;2009;2;MESTRADO;315739;MESTRADO EM QUÍMICA;EM HOMOLOGAÇÃO;2012/01/04 10:53:43.467000000;2012;1
0780cadfe6db83cc0ddbcb401cc3c6dd;2011;1;GRADUAÇÃO;15315770;ADMINISTRAÇÃO PÚBLICA;TRANCADO;2012/01/04 18:43:52.233000000;2012;1
e3c82262623478f20fa06e2ba7df1b01;2008;1;GRADUAÇÃO;2000025;ENGENHARIA CIVIL;TRANCADO;2012/01/04 18:43:52.323000000;2012;1
2f4c36549942071e413f554fe1d90018;2011;1;GRADUAÇÃO;111635075;QUÍMICA;TRANCADO;2012/01/04 18:43:52.403000000;2012;1
ec7968d8ea0a1997667687fcfbd79ccb;2008;2;GRADUAÇÃO;2000002;ADMINISTRAÇÃO;TRANCADO;2012/01/04 18:43:52.468000000;2012;1
32d7380616c08cb5dd81304e351dec88;2010;1;GRADUAÇÃO;111635038;CIÊNCIAS SOCIAIS;TRANCADO;2012/01/04 18:43:52.536000000;2012;1
e1d7798dd07be283ca53ca828118e9ec;2009;1;GRADUAÇÃO;111635075;QUÍMICA;TRANCADO;2012/01/04 18:43:52.606000000;2012;1
c2e100e3485101cb928571aafd027fa8;2002;1;GRADUAÇÃO;2000014;CIÊNCIAS ECONÔMICAS;TRANCADO;2012/01/04 18:43:52.676000000;2012;1
008d470bb8fd86c2c818e8b8db7ec64d;2011;1;GRADUAÇÃO;2936390;GEOFÍSICA;TRANCADO;2012/01/04 18:43:52.746000000;2012;1
c131f38f6091189e6d71ddcf0facb22b;2011;1;GRADUAÇÃO;2000041;FÍSICA;TRANCADO;2012/01/04 18:43:52.813000000;2012;1
76b16548d9926ac37a69cab81d853366;2008;1;GRADUAÇÃO;2000033;ENGENHARIA TÊXTIL;TRANCADO;2012/01/04 18:43:52.886000000;2012;1
b8a77057826d0ffe8c5c7deae9c5dce4;2008;1;GRADUAÇÃO;2000034;ESTATÍSTICA;TRANCADO;2012/01/04 18:43:52.964000000;2012;1
fc4fd02c8ad4aa134f88cf6145d146bb;2011;2;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:53.023000000;2012;1
463e44dfe53f73cb1ef732959be84dc2;2009;1;GRADUAÇÃO;10345860;FISIOTERAPIA;TRANCADO;2012/01/04 18:43:53.078000000;2012;1
59e95595e5b46c6c9613e75cc7fd193f;2010;2;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:53.151000000;2012;1
ccf45cc7932453555f81c400c562e180;2010;2;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:53.216000000;2012;1
1e5c8e60960be59cce575bc282a20517;2009;1;GRADUAÇÃO;111635066;MATEMÁTICA;TRANCADO;2012/01/04 18:43:53.289000000;2012;1
8cc141d630c7067d6ffdca0d9e7ae9ce;2011;2;GRADUAÇÃO;2000043;GEOGRAFIA;TRANCADO;2012/01/04 18:43:53.348000000;2012;1
26553927049ba44d67a92bb6f0b1083f;2011;1;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:53.410000000;2012;1
2bfd7e7baab451cdf755c9233c90a792;2011;2;GRADUAÇÃO;2000009;CIÊNCIAS BIOLÓGICAS;TRANCADO;2012/01/04 18:43:53.470000000;2012;1
ca3d2fd891333b3ac16b3d54ce877e57;2010;1;GRADUAÇÃO;2000066;PSICOLOGIA;TRANCADO;2012/01/04 18:43:53.537000000;2012;1
278c9853970b75e6531161db6100609c;2011;2;GRADUAÇÃO;2000159;GESTÃO HOSPITALAR;TRANCADO;2012/01/04 18:43:53.607000000;2012;1
a8bd6265d9927ce8e92737ff04c62dad;2006;2;GRADUAÇÃO;2000032;ENGENHARIA QUÍMICA;TRANCADO;2012/01/04 18:43:53.673000000;2012;1
8f23cdb736c31ce733fa4612353fe3f7;2011;2;GRADUAÇÃO;2000018;DIREITO;TRANCADO;2012/01/04 18:43:53.740000000;2012;1
fd92b0d0005f24c19d10099ecc7982ed;2008;2;GRADUAÇÃO;111635063;LETRAS;TRANCADO;2012/01/04 18:43:53.807000000;2012;1
50de64d09f1649dc09711d0e072beab1;2011;2;GRADUAÇÃO;2000121;ECOLOGIA;TRANCADO;2012/01/04 18:43:53.877000000;2012;1
a2127b7172fd7bc4f64e9068ca7aa616;2011;1;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:53.943000000;2012;1
b051f4409223945b5d39a91d91f6997b;2009;1;GRADUAÇÃO;111635057;HISTÓRIA;TRANCADO;2012/01/04 18:43:54.008000000;2012;1
bd5837adbd2aacde89f7959e435898c4;2011;2;GRADUAÇÃO;2000033;ENGENHARIA TÊXTIL;TRANCADO;2012/01/04 18:43:54.072000000;2012;1
d6848ba391f371adb56138ad9a1b65dd;2007;2;GRADUAÇÃO;2000022;EDUCAÇÃO FÍSICA;TRANCADO;2012/01/04 18:43:54.135000000;2012;1
80f9629ecb075a89f123c97c0061ce49;2007;1;GRADUAÇÃO;2000031;ENGENHARIA MECÂNICA;TRANCADO;2012/01/04 18:43:54.198000000;2012;1
7f3f5b9fa2799669e2226de9436e4b58;2007;1;GRADUAÇÃO;111635057;HISTÓRIA;TRANCADO;2012/01/04 18:43:54.261000000;2012;1
e8fdcbc5d024f501bd8b0adbf040db08;2010;1;GRADUAÇÃO;111635038;CIÊNCIAS SOCIAIS;TRANCADO;2012/01/04 18:43:54.327000000;2012;1
f4fbd31d5c826d24660238c4bb0a26dc;2011;2;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:54.396000000;2012;1
4ab6e62523da74ff9847b4e7337144e5;2009;1;GRADUAÇÃO;2000123;ARTES VISUAIS;TRANCADO;2012/01/04 18:43:54.454000000;2012;1
74554017c151df1fd93176ed3c9afef8;2011;1;GRADUAÇÃO;2000016;COMUNICAÇÃO SOCIAL;TRANCADO;2012/01/04 18:43:54.518000000;2012;1
6188e3f88b8daa4399b6315f2089aa3c;2010;1;GRADUAÇÃO;2000066;PSICOLOGIA;TRANCADO;2012/01/04 18:43:54.580000000;2012;1
4b0ab4c70cf349816ce50abe60d7ae7f;2010;1;GRADUAÇÃO;111635075;QUÍMICA;TRANCADO;2012/01/04 18:43:54.641000000;2012;1
a1ce21df951bb676b0ce1aec92bf80dd;2011;1;GRADUAÇÃO;111635057;HISTÓRIA;TRANCADO;2012/01/04 18:43:54.703000000;2012;1
63db277b26b2a6f54472a71203b0bad6;2010;2;GRADUAÇÃO;2000068;SERVIÇO SOCIAL;TRANCADO;2012/01/04 18:43:54.765000000;2012;1
4ddc4b5ffab3a495b05ea2219bd02382;2010;1;GRADUAÇÃO;2000002;ADMINISTRAÇÃO;TRANCADO;2012/01/04 18:43:54.830000000;2012;1
a96b9d0837551fa7343c174d67757a14;2008;1;GRADUAÇÃO;2000031;ENGENHARIA MECÂNICA;TRANCADO;2012/01/04 18:43:54.893000000;2012;1
41fd5a9cedd287cace6400f83d11b90b;2007;1;GRADUAÇÃO;2000006;BIBLIOTECONOMIA;TRANCADO;2012/01/04 18:43:54.958000000;2012;1
d811fa5cda5e55a54c6ada81a2d04af2;2011;1;GRADUAÇÃO;2000158;TEATRO;TRANCADO;2012/01/04 18:43:55.023000000;2012;1
569e1a2907f4310c8555ab00b1ffc70f;2010;2;GRADUAÇÃO;2000063;PEDAGOGIA;TRANCADO;2012/01/04 18:43:55.084000000;2012;1
e4d8c06b6a58d495d3a3ff30ed89cdf6;2006;1;GRADUAÇÃO;2000002;ADMINISTRAÇÃO;TRANCADO;2012/01/04 18:43:55.146000000;2012;1
7056b82b896ee25fd6caa1f252350a42;2010;2;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:55.210000000;2012;1
1528b28b5bc1764edcd4a04ce359749f;2009;1;GRADUAÇÃO;2000068;SERVIÇO SOCIAL;TRANCADO;2012/01/04 18:43:55.273000000;2012;1
5cfd3e122063c01670e645dd4b560ace;2011;1;GRADUAÇÃO;2000041;FÍSICA;TRANCADO;2012/01/04 18:43:55.333000000;2012;1
7417f1adcd9f6783b83644c0158cad16;2010;1;GRADUAÇÃO;2000046;HISTÓRIA;TRANCADO;2012/01/04 18:43:55.394000000;2012;1
e4db34cadc3bc004213891bd1fe08e77;2007;2;GRADUAÇÃO;2000054;MATEMÁTICA;TRANCADO;2012/01/04 18:43:55.473000000;2012;1
e77079e4ea9c13b8fe2f12d9829f2e3c;2009;2;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:55.533000000;2012;1
c4a0f5762035f5538fdf95765333357a;2010;1;GRADUAÇÃO;10320810;CIÊNCIAS E TECNOLOGIA;TRANCADO;2012/01/04 18:43:55.593000000;2012;1
7e36e851887681c589eb4774d6b1ad2e;2010;1;GRADUAÇÃO;2000039;FARMÁCIA;TRANCADO;2012/01/04 18:43:55.653000000;2012;1
7db6ce61cef8ae19b09afe8bead64edb;2007;1;GRADUAÇÃO;2000011;CIÊNCIAS CONTÁBEIS;TRANCADO;2012/01/04 18:43:55.713000000;2012;1
74a7276702d4cb27112207c2c2fc0e51;2011;1;GRADUAÇÃO;2000041;FÍSICA;TRANCADO;2012/01/04 18:43:55.771000000;2012;1
